date,unit_id,unit_age_years,outdoor_temp_f,return_air_temp_f,supply_air_temp_f,delta_t_f,suction_pressure_psig,head_pressure_psig,compressor_amps,vibration_ips,filter_pressure_drop_inwc,runtime_hours,energy_kwh,failure_next_7_days
2026-01-01,RTU-01,8,84.2,77.4,62.4,15.1,123.9,298.0,18.9,0.371,0.45,11.2,60.6,0
2026-01-02,RTU-01,8,76.1,72.9,56.9,16.0,123.6,367.8,18.1,0.351,0.58,9.2,44.9,0
2026-01-03,RTU-01,8,76.7,78.8,66.5,12.3,138.4,387.3,17.2,0.43,0.64,8.0,39.1,0
2026-01-04,RTU-01,8,64.1,72.2,58.3,13.9,120.8,343.8,20.0,0.326,0.82,10.3,50.7,0
2026-01-05,RTU-01,8,75.9,77.0,57.6,19.3,156.9,369.2,23.1,0.377,0.57,7.0,36.1,0
2026-01-06,RTU-01,8,86.7,72.7,55.5,17.3,122.4,318.6,17.9,0.414,0.7,8.5,46.7,0
2026-01-07,RTU-01,8,80.1,74.6,57.7,16.9,139.0,351.6,18.3,0.437,0.84,11.1,57.2,0
2026-01-08,RTU-01,8,85.7,76.7,61.6,15.0,135.0,349.8,20.0,0.23,0.48,5.6,31.0,0
2026-01-09,RTU-01,8,89.5,75.5,57.3,18.1,113.6,329.4,20.8,0.351,0.78,14.9,86.8,0
2026-01-10,RTU-01,8,82.3,76.2,59.1,17.1,113.8,350.1,16.3,0.312,0.68,6.5,33.7,0
2026-01-11,RTU-01,8,67.7,75.2,61.2,14.0,112.8,364.4,16.9,0.496,0.55,8.4,40.1,0
2026-01-12,RTU-01,8,68.2,72.6,60.4,12.1,140.2,359.5,19.5,0.405,0.38,7.9,38.6,0
2026-01-13,RTU-01,8,83.5,74.9,57.7,17.2,122.5,417.2,22.2,0.14,0.86,9.9,54.7,1
2026-01-14,RTU-01,8,92.8,72.3,53.2,19.1,118.8,398.0,19.9,0.437,0.54,10.6,63.7,0
2026-01-15,RTU-01,8,82.5,74.2,57.9,16.3,135.5,390.2,18.3,0.297,0.86,14.4,75.9,0
2026-01-16,RTU-01,8,48.4,76.3,61.1,15.3,133.1,425.5,20.7,0.29,0.51,10.1,50.1,0
2026-01-17,RTU-01,8,82.5,75.3,58.3,17.0,127.4,398.8,17.5,0.349,0.62,10.0,52.8,0
2026-01-18,RTU-01,8,75.3,76.8,64.0,12.7,139.0,325.5,17.5,0.11,0.46,10.5,50.7,0
2026-01-19,RTU-01,8,73.4,71.2,51.7,19.5,136.5,374.6,15.4,0.522,0.6,7.9,37.3,0
2026-01-20,RTU-01,8,60.0,75.0,58.0,17.0,135.5,405.5,16.8,0.408,0.66,9.0,42.7,0
2026-01-21,RTU-01,8,59.2,75.0,62.1,12.9,122.1,371.5,21.2,0.33,0.7,12.4,61.8,1
2026-01-22,RTU-01,8,96.6,72.5,55.7,16.8,105.7,346.2,16.2,0.248,0.84,9.4,56.7,0
2026-01-23,RTU-01,8,65.7,72.9,54.5,18.4,116.3,296.9,21.0,0.216,0.52,11.0,54.8,0
2026-01-24,RTU-01,8,80.3,73.7,60.2,13.5,149.0,318.7,22.3,0.352,0.6,8.4,44.8,0
2026-01-25,RTU-01,8,55.4,72.7,52.3,20.4,123.2,346.9,17.1,0.279,0.69,11.2,53.6,0
2026-01-26,RTU-01,8,54.1,76.1,54.3,21.8,116.9,305.8,18.7,0.355,0.66,7.0,34.1,0
2026-01-27,RTU-01,8,80.7,72.8,55.3,17.6,118.0,337.6,19.7,0.318,0.54,13.5,70.8,0
2026-01-28,RTU-01,8,91.2,72.8,56.3,16.5,132.4,493.9,20.7,0.418,0.96,15.8,93.7,1
2026-01-29,RTU-01,8,89.1,76.6,61.8,14.8,128.4,395.1,21.1,0.431,0.71,12.1,70.4,0
